,oem,version,segment,size,mass_in_running_order(kg),distance_between_axles,area(m²),conpet_novo,fuel_type,engine_type,direct_injection,displacement(cm³),power(cv),transmission_type,cylinder_number,turbo,ebd_(abs),traction_control,lane_change_blink,front_airbags,emergency_lightning,electronic_stability_control,blind_spot_monitoring,fatigue_detection,collision_mitigation_braking_system,forward_collision_warning,lane_departure,lane_keep_assist,adaptive_high_beam,cruise_control,adaptive_cruise_control,buckle_unlock_indicator_(passenger),buckle_unlock_indicator_(pilot),tpms,stop/start,gear_change_indicator,led_daytime_running_lights,led_backlight,hidraulic_steering,electric_steering,air_conditioning,automatic_air_conditioning,reverse_camera,auxiliary_parking_with_guides,rear_parking_sensors,front_and_rear_parking_sensors,parking_assistant,jam_assist,bluetooth_with_wireless_charging,hill_assist,downhill_assist,keyless_entry,start-stop_button,color_liquid_crystal_display_on_the_panel,entire_digital_and_configurable_cluster,audio_system_(as),display_audio_(da),android_auto,carplay_(apple),embedded_navigation_(nav),total_itens,prices
104,AUDI,I/AUDI RS3 SPB 367CV,HATCHBACK,MEDIUM,1510.0,2631.0,7.803,2.61,GASOLINE,COMBUSTION,1,2.5,400.0,DUAL CLUTCH,5,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,28,360547.074
115,AUDI,I/AUDI RSQ3 340CV,SUV,LARGE,1655.0,2603.0,8.120651,2.66,GASOLINE,COMBUSTION,1,2.5,340.0,DUAL CLUTCH,5,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,22,385615.224
116,AUDI,I/AUDI RSQ3 340CV,SUV,LARGE,1655.0,2603.0,8.120651,2.66,GASOLINE,COMBUSTION,1,2.5,340.0,DUAL CLUTCH,5,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,22,390047.274
118,AUDI,I/AUDI S3 SPB 286CV I,HATCHBACK,LARGE,1404.0,2601.0,7.55769,2.41,GASOLINE,COMBUSTION,1,2.0,286.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,22,289464.688
126,AUDI,I/AUDI TT COUPE 230CV I,COUPE/ROADSTER,MEDIUM,1335.0,2505.0,7.652264,1.99,GASOLINE,COMBUSTION,1,2.0,230.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,22,299154.288
127,AUDI,I/AUDI TT COUPE 230CV I,COUPE/ROADSTER,MEDIUM,1260.0,2505.0,7.652264,1.99,GASOLINE,COMBUSTION,1,2.0,230.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,26,286820.968
128,AUDI,I/AUDI TT COUPE 230CV I,COUPE/ROADSTER,MEDIUM,1260.0,2505.0,7.652264,1.99,GASOLINE,COMBUSTION,1,2.0,230.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,24,305677.804
129,AUDI,I/AUDI TTS CP 2.0TFSI,COUPE/ROADSTER,MEDIUM,1365.0,2505.0,7.677912,2.25,GASOLINE,COMBUSTION,1,2.0,286.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,24,358410.438
130,AUDI,I/AUDI TTS CP 2.0TFSI,COUPE/ROADSTER,MEDIUM,1365.0,2505.0,7.677912,2.25,GASOLINE,COMBUSTION,1,2.0,286.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,26,342941.93700000003
131,AUDI,I/AUDI TTS CP 2.0TFSI,COUPE/ROADSTER,MEDIUM,1365.0,2505.0,7.677912,2.25,GASOLINE,COMBUSTION,1,2.0,286.0,DUAL CLUTCH,4,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,26,362857.004
